Date,Open,High,Low,Close,Adj Close,Volume,Days
2019-03-29,87.330002,88.599998,78.019997,78.290001,78.290001,71485200,0
2019-04-01,74.900002,75,67.779999,69.010002,69.010002,41799300,1
2019-04-02,66.900002,70.199997,66.099998,68.970001,68.970001,22483300,2
2019-04-03,70.059998,72,69.120003,70,70,15648300,3
2019-04-04,70.480003,72.889999,70.220001,72,72,9229300,4
2019-04-05,73.940002,76.099998,73.300003,74.449997,74.449997,11200100,5
2019-04-08,74.989998,74.989998,70.230003,70.230003,70.230003,6599500,6
2019-04-09,69.5,69.699997,67.110001,67.440002,67.440002,8223300,7
2019-04-10,67.25,67.349998,59.75,60.119999,60.119999,26392100,8
2019-04-11,61.099998,62.299999,60.310001,61.009998,61.009998,12405700,9
2019-04-12,61.380001,61.490002,57.66,59.895,59.895,13787500,10
2019-04-15,59.720001,59.799999,55.560001,56.110001,56.110001,14345900,11
2019-04-16,56.860001,57.939999,56.18,56.25,56.25,9965000,12
2019-04-17,56.5,59.610001,55.619999,59.509998,59.509998,10768300,13
2019-04-18,59.650002,59.66,57.599998,58.360001,58.360001,6869900,14
2019-04-22,57.900002,61.23,57.651001,60.939999,60.939999,5265600,15
2019-04-23,62.02,62.099998,59.330002,60.25,60.25,11975000,16
2019-04-24,60.110001,60.488998,57.77,57.82,57.82,5158000,17
2019-04-25,58.200001,58.457001,55.861,56.34,56.34,5097100,18
2019-04-26,56.299999,57.529999,54.32,57.240002,57.240002,5981000,19
2019-04-29,57.599998,60.709999,56,60.59,60.59,7231800,20
2019-04-30,59.93,61.400002,58.220001,59.799999,59.799999,6072700,21
2019-05-01,60.700001,60.709999,58.532001,58.75,58.75,3443000,22
2019-05-02,58.439999,62.009998,57.330002,61.5,61.5,6634300,23
2019-05-03,61.209999,62.985001,60.101002,62.509998,62.509998,9393600,24
2019-05-06,60.549999,61.5,59.900002,60.57,60.57,5184600,25
2019-05-07,60.34,61.599998,58.119999,59.34,59.34,11591700,26
2019-05-08,57.689999,60.450001,52.779999,52.91,52.91,22640400,27
2019-05-09,54.07,56.450001,53.099998,55.18,55.18,9603500,28
2019-05-10,56.389999,56.490002,50.02,51.09,51.09,23111200,29
2019-05-13,50,50.09,47.169998,48.150002,48.150002,10007400,30
2019-05-14,48.82,51.389999,48,50.52,50.52,7007400,31
2019-05-15,50.200001,54.849998,49.860001,54.040001,54.040001,7909300,32
2019-05-16,54.099998,56.720001,53.549999,55.599998,55.599998,7101700,33
2019-05-17,54.5,55.110001,53.459999,53.790001,53.790001,4326500,34
